"";"X";"Style";"OG";"FG";"IBU";"ABV";"Color"
"77";"Oirish.Rad";4;1,063;1,014;23;6,4;11
"78";"Nisqually.Pale";2;1,061;1,015;58;6;8
"79";"Draft.Day.IPA";2;1,074;1,017;60;7,4;13
"80";"MACC.IPA";2;1,071;1,015;41;7,4;6
"81";"Cascade.of.Cascade";2;1,057;1,012;58;5,9;7
"82";"Heafes.weizen";1;1,048;1,013;11;4,7;2
"83";"Red.IPA";2;1,065;1,015;66;6,6;13
"84";"Bell.s.Two.Hearted.Clone";2;1,06;1,012;54;6,3;8
"85";"Single.Hop.IPA..Nelson.Sauvin.";2;1,071;1,017;56;7,2;9
"86";"Tongue.Tickler.Pilsner";3;1,048;1,011;28;4,8;2
"87";"German.Pilsner.3";3;1,046;1,01;35;4,7;2
"88";"Summer.Pils";3;1,05;1,01;39;5,2;2
"89";"Irish.Red.Ale..MW.";4;1,049;1,013;26;4,7;12
"90";"Chinook.IPA.1";2;1,057;1,014;45;5,7;7
"91";"Biscuit.IPA";2;1,07;1,017;52;6,8;10
"92";"B.s.Pils";3;1,048;1,012;44;4,7;2
"93";"Galaxy.IPA";2;1,071;1,018;63;6,9;8
"94";"Centennial.IPA";2;1,07;1,015;65;7,1;9
"95";"Daniel.s.Extract.Hefeweizen";1;1,05;1,013;13;4,9;3
"96";"American.Red.Rye.IPA";2;1,063;1,016;73;6,2;16
"97";"Kama.Citra.Session.IPA..NB.";2;1,05;1,014;39;4,8;4
"98";"Jim.s.American.IPA";2;1,048;1,007;61;5,4;5
"99";"hefe";1;1,053;1,013;15;5,2;6
"100";"Boylan.Hoptical";2;1,055;1,013;44;5,5;11
"101";"Wolf";2;1,074;1,013;39;8;15
"102";"Red.Beard...Bitter.Red";4;1,049;1,014;29;4,6;13
"103";"duet.clone";2;1,07;1,016;52;7;4
"104";"A2ZIPA...";2;1,072;1,016;71;7,3;3
"105";"K√.nigskrone.German.Pils";3;1,049;1,013;33;4,7;2
"106";"Simple.Hefe";1;1,058;1,015;5;5,6;3
"107";"Ein.ma.Weisse";1;1,047;1,013;8;4,5;4
"108";"IPA";2;1,065;1,011;48;7;9
"109";"Magnibrew.s.Hop..Hop..IPA";2;1,062;1,016;52;6,1;8
"110";"Red.Robyn.2";4;1,044;1,006;22;4,9;9
"111";"Trick.or.Treat.Black.IPA";2;1,08;1,019;67;8;62
"112";"Nugget.Nectar.Clone";2;1,069;1,01;108;7,7;6
"113";"Jamil.s.Evil.Twin...ALL.GRAIN";2;1,065;1,017;69;6,2;16
"114";"Nelson.in.Vienna.SMaSH";2;1,054;1,013;44;5,4;7
"115";"CYBI.Green.Flash.West.Coast.IPA";2;1,077;1,021;100;7,3;8
"116";"Leine.s.Summer.Shandy.Clone";1;1,051;1,012;12;5,1;2
"117";"EMA.American.Pale...26L.batch.";2;1,059;1,009;41;6,6;7
"118";"SaraWeizen";1;1,052;1,013;11;5,1;4
"119";"Hop.Burst.IPA";2;1,065;1,015;56;6,5;7
"120";"American.Rye.IPA";2;1,064;1,015;50;6,4;7
"121";"Chicken.Dog.IPA";2;1,069;1,017;69;6,8;8
"122";"Duke.s.Fall.Retriever";2;1,07;1,01;57;7,8;7
"123";"oktoberfest.hefe";1;1,052;1,012;12;5,2;3
"124";"German.Hefeweizen";1;1,048;1,012;11;4,7;2
"125";"From.Hells.Heart";2;1,062;1,013;70;6,5;8
"126";"Spaceman.IPA";2;1,069;1,01;51;7,8;6
"127";"Hoppy.Red..1";2;1,071;1,017;62;7,1;15
"128";"Red.Classic";4;1,045;1,013;19;4,2;13
"129";"Ruby..X..IPA.4.6.14";2;1,059;1,012;48;6,1;8
"130";"NW.Rye.IPA";2;1,073;1,018;44;7,2;9
"131";"Basic.Bitch.IPA";2;1,072;1,016;56;7,4;6
"132";"Sierra.Nevada.Celebration.IPA";2;1,074;1,011;67;8,3;10
"133";"Hop.Burst.IPA.1";2;1,065;1,013;67;6,7;7
"134";"B.day.Hop";2;1,066;1,015;67;6,7;12
"135";"Hobbit.House.IPA";2;1,061;1,011;69;6,6;6
"136";"GR.IPA";2;1,064;1,017;50;6,2;9
"137";"Citra.Single.Hop";2;1,058;1,012;52;6,1;7
"138";"Transatlantic.IPA";2;1,071;1,018;60;7;7
"139";"Hogan.s.Air.Raid.ag";2;1,065;1,015;65;6,6;6
"140";"Zombie.Dust.Partial.Mash.Clone.Part.II";2;1,06;1,014;47;6;7
"141";"Harvest.Red..2015.";2;1,07;1,016;68;7;10
"142";"SMASH.German.Wheat";1;1,052;1,013;10;5,1;4
"143";"Generic.IPA";2;1,068;1,018;44;6,6;10
"144";"Grapefruit.IPA.1";2;1,072;1,018;50;7,1;6
"145";"IPAHHH.";2;1,059;1,018;61;5,4;7
"146";"Missing.the.Freshness.....IPA";2;1,058;1,014;65;5,8;12
"147";"Heferator";1;1,05;1,013;11;4,8;6
"148";"Sierra.Nevada.Celebration.Ale.Clone";2;1,063;1,015;53;6,3;13
"149";"IPA.1";2;1,073;1,017;57;7,2;6
"150";"MaracujIPA";2;1,058;1,015;43;5,7;7
"151";"Still.Bitches....Still.in.Space..3gal.";2;1,063;1,016;61;6,2;6
"152";"German.IPA";2;1,058;1,015;48;5,7;10
"153";"Liquid.Alpha";2;1,065;1,015;48;6,6;6
"154";"Weihenstephan.Hefe.Weissbier";1;1,048;1,012;14;4,7;3
"155";"Big.Enzyme.ER";2;1,065;1,013;57;6,8;6
"156";"Chanson.d.Hiver";2;1,065;1,016;51;6,4;6
"157";"American.Copper.Ale..22";2;1,069;1,01;58;7,8;14
"158";"Austin.Homebrew.Nelson.Sauvin.IPA";2;1,059;1,014;54;5,9;9
"159";"Cabin.Fever.Stovetop.APA";2;1,06;1,016;64;5,7;10
"160";"Russian.River.Blind.Pig.DIY";2;1,058;1,014;70;5,8;4
"161";"Pliny.Hop.CLone";2;1,086;1,02;159;8,6;5
"162";"Hoppy.Joe.Clone.from.Lervig..3";2;1,052;1,016;32;4,8;18
"163";"Grapefruit.Sculpin.Clone";2;1,069;1,014;74;7,2;4
"164";"Munich.Ale";2;1,083;1,024;46;7,7;6
"165";"White.IPA...Chainbreaker.White.IPA.Clone";2;1,063;1,015;59;6,3;3
"166";"Rickard.s.Red.Clone";4;1,046;1,009;20;4,8;14
"167";"Quailhead.Pils";3;1,052;1,013;23;5;2
"168";"Green.Hulk.IPA.aka.American.Revolution";2;1,068;1,021;193;6,2;6
"169";"Stepchild.Red.Ale";4;1,061;1,017;36;5,9;21
"170";"all.day.ipa";2;1,047;1,012;50;4,6;5
"171";"Darius.hefeweizen";1;1,069;1,018;9;6,7;4
"172";"Citra.Pale.Ale";2;1,067;1,02;110;6,2;10
"173";"Irish.Red.Ale";4;1,06;1,017;28;5,6;17
"174";"Smithwicks.Clone";4;1,062;1,017;26;5,9;13
"175";"Grapefruit.Pulpin";2;1,065;1,009;39;7,3;7
"176";"Munich.II.Citra.SMaSH";2;1,069;1,017;81;6,8;12
"177";"Base.IPA..Centennial.";2;1,065;1,01;51;7,2;7
"178";"Diamond.Not.04.29.13";2;1,073;1,018;44;7,3;12
"179";"Steiner.Experimental.A.IPA";2;1,065;1,015;47;6,5;7
"180";"IPA..1";2;1,059;1,015;41;5,8;6
"181";"X1st.pils";3;1,05;1,013;25;4,9;3
"182";"Heikki.Lunta..go.away.";2;1,067;1,013;48;7;8
"183";"Slainte";4;1,045;1,013;24;4,2;16
"184";"X2013.February...Year.of.the.Snake.Irish.Red";4;1,049;1,013;17;4,7;10
"185";"Yule.s.Red.Tide.Ale";4;1,049;1,011;20;4,9;12
"186";"Citra.SMaSH.IPA";2;1,059;1,016;41;5,6;6
"187";"SHG.Citra";2;1,066;1,017;49;6,4;9
"188";"Krazy.Kra√.sen.Hefeweizen";1;1,048;1,012;14;4,6;3
"189";"X2014.Simple.Hefeweizen";1;1,052;1,01;14;5,4;3
"190";"Corte.Brewing.and.The.Holy.Grail";2;1,066;1,017;51;6,5;7
"191";"Calypso.IPA";2;1,067;1,013;70;7;14
"192";"MicroFest.IPA";2;1,069;1,017;63;6,7;8
"193";"Ed.s.Red.V3";4;1,047;1,01;21;4,7;11
"194";"Ken.s.Biergarten";3;1,049;1,012;31;4,9;2
"195";"Columbus.Solo";2;1,056;1,014;48;5,6;8
"196";"Hoppily.Ever.After";1;1,052;1,013;12;5,1;3
"197";"Singel.hoped.Polaris";2;1,062;1,014;67;6,3;6
"198";"r.ale";2;1,068;1,016;54;6,8;7
"199";"CasMo.SMaSH";2;1,068;1,017;49;6,7;6
"200";"Hefe";1;1,052;1,014;8;5;3
"201";"Weihenstephaner.Hefeweissbier.Clone";1;1,055;1,014;13;5,4;4
"202";"Eggy.s.Mosaic.Promise";2;1,06;1,009;35;6,7;4
"203";"B.64.BIPA.20140217";2;1,068;1,01;89;7,6;39
"204";"Oaty.Nonsense.II";2;1,063;1,016;0;6,2;6
"205";"Union.Jack.Clone";2;1,082;1,013;62;9;7
"206";"Zatec.Pils";3;1,045;1,013;49;4,2;2
"207";"Citra.2.Row.Smash";2;1,061;1,018;52;5,6;2
"208";"Fruit.Festival.IPA";2;1,064;1,016;72;6,3;8
"209";"Mosaic.SMaSH";2;1,063;1,016;55;6,2;5
"210";"Stone..Enjoy.By..clone";2;1,085;1,014;92;9,2;4
"211";"Hop.Scare.IPA";2;1,076;1,018;57;7,6;8
"212";"Zombie.Dirt";2;1,059;1,018;69;5,4;5
"213";"trickster";2;1,054;1,014;87;5,3;7
"214";"Cascade.IPA.1";2;1,068;1,01;66;7,6;7
"215";"West.coast.pils";3;1,055;1,017;38;5,1;3
"216";"Session.IPA...Big.Little.Guy.All.Day..GF.";2;1,045;1,014;44;4,2;7
"217";"A.Pils";3;1,051;1,015;37;4,7;2
"218";"Pils.3GB";3;1,046;1,009;34;4,8;1
"219";"Rye.Rye.Rocco";4;1,06;1,017;31;5,7;11
"220";"Citra.Marris.Otter.SMASH";2;1,071;1,02;89;6,7;6
"221";"Captain.MACC";2;1,073;1,015;71;7,6;5
"222";"Zeus.Black.IPA";2;1,061;1,009;48;6,9;32
"223";"Gold.as.Ice";2;1,054;1,008;58;6;5
"224";"Piney.Falls.IPA";2;1,065;1,009;48;7,3;9
"225";"Dark.Grey.IPA..w..Earl.Grey.Tea.";2;1,069;1,01;66;7,7;28
"226";"American.Spruce.Ale";2;1,062;1,016;54;6;5
"227";"Millennium.Falcon";2;1,052;1,008;72;5,8;6
"228";"Summer.Ale.4.10.15";2;1,042;1,006;47;4,6;1
"229";"El.Dorado.IPA";2;1,068;1,014;131;7,2;8
"230";"All.American.IPA";2;1,075;1,019;56;7,4;11
"231";"The.BABIT.IPA..biab.";2;1,065;1,015;45;6,5;2
"232";"Kiwi.Express.IPA..NB.";2;1,06;1,009;49;6,8;3
"233";"Ace.of.Spades";2;1,064;1,016;64;6,2;32
"234";"Pliny.the.Elder.Clone";2;1,074;1,017;205;7,4;5
"235";"Session.IPA";2;1,04;1,013;73;3,7;2
"236";"Vermont.IPA";2;1,066;1,018;45;6,3;5
"237";"X1.Gallon.IPA";2;1,067;1,02;141;6,2;5
"238";"Union.Jackesk.IPA";2;1,065;1,018;77;6,2;9
"239";"Anchor.Steam.IPA..Extract.";2;1,075;1,022;50;6,9;15
"240";"Fit.To.Be.Ty.d";4;1,054;1,015;25;5,1;13
"241";"Ferocious.IPA";2;1,058;1,015;74;5,6;6
"242";"Fall.Brown.IPA";2;1,056;1,012;85;5,6;9
"243";"Motsatt.kinn.IPA";2;1,066;1,018;68;6,3;8
"244";"Hefeweizen.XII";1;1,053;1,012;14;5,4;3
"245";"HTRB.Lavender.Mint.IPA";2;1,069;1,016;77;6,9;5
"246";"Outer.Spruce";2;1,046;1,007;56;5,2;3
"247";"Original.Punk.IPA.Clone";2;1,053;1,013;42;5,2;4
"248";"Stone.IPA.Clone";2;1,071;1,016;81;7,2;4
"249";"Colorado..all.day..IPA";2;1,067;1,017;49;6,5;14
"250";"Later.Skater.III";2;1,061;1,016;57;5,9;10
"251";"Honey.Amber.IPA.";2;1,068;1,016;70;6,8;10
"252";"Flea.Free.IPA";2;1,066;1,016;47;6,6;7
"253";"American.IPA";2;1,073;1,017;69;7,2;6
"254";"Zombie.Dust.Clone...1.Gallon";2;1,069;1,017;53;6,8;8
"255";"Octopus.lagopus..Phillips.Octofox.clone.";2;1,063;1,016;53;6,2;11
"256";"The.Defeated.Troll";3;1,046;1,011;35;4,6;2
"257";"Little.Richie.Ale";2;1,057;1,017;50;5,3;10
"258";"Kellarb√.r.Ein..Hefeweizen.";1;1,052;1,013;12;5,1;3
"259";"Cuv√.e.35.C2IPA";2;1,07;1,016;61;7,1;6
"260";"Red.Robyn";4;1,047;1,012;21;4,6;18
"261";"Christmas.IPA";2;1,071;1,017;70;7,1;8
"262";"Warm.December";2;1,074;1,015;67;7,7;7
"263";"Red";2;1,069;1,017;62;6,8;14
"264";"Shark.Juice.IPA";2;1,058;1,015;61;5,7;7
"265";"Dead.Ringer.IPA.1";2;1,072;1,01;62;8;14
"266";"American.IPA_late.hop.add";2;1,061;1,014;49;6,1;14
"267";"Iers.Rood";4;1,055;1,014;26;5,4;17
"268";"Bi√.re.de.Mila";2;1,063;1,015;53;6,3;12
"269";"Beast.Mode.IPA";2;1,071;1,018;60;7;7
"270";"Hebeert.s.Full.Nelson.IPA";2;1,071;1,018;52;6,9;11
"271";"Bell.s.2.Hearted.Citra";2;1,059;1,014;61;5,9;6
"272";"Corte.Kiwi.IPA";2;1,074;1,017;66;7,5;6
"273";"The.Heff";1;1,051;1,013;14;4,9;5
"274";"Brett.Botch.Batch.IPA.v6";2;1,06;1,012;62;6,3;11
"275";"House.Standard.IPA";2;1,067;1,012;50;7,2;7
"276";"Goodwheat";1;1,05;1,012;9;5;4
"277";"Underbite.IPA";2;1,058;1,014;46;5,7;8
"278";"First.Crack.AIPA";2;1,057;1,015;68;5,5;7
"279";"En.Amerikansk.Blek.√.l";2;1,058;1,015;67;5,7;11
"280";"Single.Hop.Trials";2;1,062;1,016;67;6,1;8
"281";"X.004...Dead.Ringer.IPA";2;1,073;1,018;52;7,2;10
"282";"I.Doehoe.";2;1,062;1,016;52;6,1;10
"283";"Simcoe.IPA";2;1,067;1,017;64;6,6;6
"284";"CWAY.Gratitude.Attitude";2;1,065;1,016;65;6,4;6
"285";"Summer.2013.IPA";2;1,064;1,015;52;6,4;10
"286";"SMaSH.Series..Liquid.Nuggets";2;1,07;1,016;68;7;6
"287";"Rapid.Fire.IPA";2;1,06;1,012;58;6,3;7
"288";"Plato";2;1,06;1,014;44;6;9
"289";"Sheffield.Series...Lagerboy";3;1,049;1,011;39;5;4
"290";"X.22.‚...Rypa";2;1,063;1,015;59;6,3;8
"291";"Lovebite.Weissbier";1;1,046;1,012;12;4,5;3
"292";"Balls.to.the.wall";2;1,065;1,014;103;6,6;9
"293";"Zombie.Dirt.1";2;1,068;1,021;68;6,2;7
"294";"Grapefruit.Hefeweizen";1;1,057;1,013;23;5,7;3
"295";"Blood.Orange.Heffe.2";1;1,05;1,012;17;5;4
"296";"SAM";2;1,073;1,022;67;6,7;5
"297";"Heffe.Wizen";1;1,053;1,013;10;5,3;3
"298";"Citra.Wheat.IPA";2;1,066;1,01;100;7,3;6
"299";"Fortune...Glory.stag.beetle";2;1,049;1,013;48;4,7;8
"300";"Drake.s.IPA.Clone";2;1,082;1,012;38;9,2;9
"301";"Paesel.Pilsner";3;1,049;1,015;39;4,5;4
"302";"India.Pale.Whale.of.a.Beer";2;1,067;1,017;76;6,6;15
"303";"cybi.Union.Jack";2;1,064;1,014;67;6,5;4
"304";"The.Big.Red.One";4;1,046;1,012;34;4,5;9
"305";"Hop.Drop.and.Roll.clone";2;1,072;1,01;84;8;7
"306";"West.Coast.IPA...11.Gal.....1";2;1,066;1,015;89;6,6;2
"307";"Black.Forest.Sorachi.IPA";2;1,064;1,015;63;6,4;30
"308";"X.26...Chinook.Ale";2;1,07;1,021;38;6,4;7
"309";"Citra.IPA.8.23.15";2;1,059;1,014;76;6;8
"310";"RyePA";2;1,071;1,022;209;6,4;7
"311";"Irish.Red.1";4;1,064;1,017;23;6,1;10
"312";"space.dust.clone..2";2;1,076;1,019;75;7,5;5
"313";"Davids.Ranger.IPA";2;1,055;1,013;67;5,5;7
"314";"Trillium.Congress.Street.DDH.IPA.Extract";2;1,06;1,009;44;6,8;5
"315";"schneider.weisse.clone";1;1,046;1,011;7;4,6;6
"316";"Backyard.IPA.2.0";2;1,055;1,015;157;5,2;7
"317";"New.IPA.S7";2;1,07;1,018;73;6,8;4
"318";"Hinky.Dink.India.Cream.Ale";2;1,058;1,014;47;5,7;5
"319";"Tight.Butthole";2;1,073;1,011;87;8,2;31
"320";"Foxy.Pantz.Pils";3;1,046;1,011;20;4,7;4
"321";"Schneider.Weisse.Clone";1;1,053;1,014;22;5,1;8
"322";"German.Pils";3;1,052;1,01;43;5,4;2
"323";"pliney.ish";2;1,062;1,009;75;7;6
"324";"SoCo.Pennybacker.Double.IPA";2;1,07;1,014;79;7,3;10
"325";"X2013.Memorial.Day.ipa";2;1,068;1,021;105;6,2;8
"326";"Lime.Shandy.Mark.1";1;1,052;1,012;16;5,1;2
"327";"Into.the.Unknown.IPA";2;1,061;1,015;118;6;10
"328";"Soweto.From.Here.IPA";2;1,062;1,009;54;6,9;40
"329";"Lemon.Coriander.Weiss";1;1,057;1,014;12;5,6;3
"330";"Cactus.Bite";2;1,067;1,01;93;7,5;5
"331";"Celebration.Bitches";2;1,071;1,018;87;7;9
"332";"G√.stens.Licht.Weiss";1;1,053;1,013;9;5,2;3
"333";"Black.IPA";2;1,054;1,008;51;6,1;33
"334";"Flying.Dog.Raging.Bitch.Clone";2;1,056;1,015;72;5,4;10
"335";"WIPA";2;1,063;1,014;61;6,4;3
"336";"Aviator.Hot.Rod.Red.Clone";4;1,067;1,013;49;7;16
"337";"Hopped.the.Question";2;1,062;1,012;45;6,5;5
"338";"BJ.s.Jeremiah.red.clone";4;1,069;1,02;26;6,4;18
"339";"Boba.Brett..Sour.White.IPA.";2;1,063;1,014;68;6,4;4
"340";"WhiteyPA";2;1,066;1,018;69;6,3;5
"341";"Simcoe.based.IPA";2;1,058;1,008;66;6,5;13
"342";"Third.Party.Liability.IPA";2;1,075;1,014;75;8;5
"343";"Brewers.Best.IPA.with.Dry.Hop";2;1,063;1,017;83;6;10
"344";"Waimea.River";2;1,063;1,019;57;5,8;6
"345";"X.27.‚...Slurm";2;1,061;1,01;64;6,7;5
"346";"Congress";2;1,066;1,011;73;7,3;5
"347";"Titan.IPA.Clone";2;1,063;1,015;113;6,3;10
"348";"Northern.Brewer..Bavarian.Hefeweizen";1;1,055;1,015;15;5,2;3
"349";"Pinner..2.Session.IPA";2;1,05;1,013;81;4,9;3
"350";"Bosco.s.Irish.Red";4;1,055;1,014;27;5,4;20
"351";"X2.Poles..IPA..1";2;1,063;1,012;67;6,6;3
"352";"Julius.Clone";2;1,063;1,014;33;6,3;5
"353";"County.Clare.Red.Ale";4;1,074;1,025;27;6,5;17
"354";"Fireside.IPA";2;1,073;1,022;73;6,7;10
"355";"Yum.Yum.Hefe";1;1,053;1,013;8;5,2;4
"356";"Blackheart.IPA";2;1,071;1,017;61;7;34
"357";"Griffiths.IPA";2;1,066;1,016;53;6,5;16
"358";"RIPAblican";2;1,065;1,009;74;7,3;8
"359";"Citra.Black.IPA.clone";2;1,057;1,015;42;5,4;31
"360";"Pacific.Warrior.May.2015";2;1,06;1,009;65;6,7;11
"361";"Berndog.s.Fall.IPA";2;1,087;1,026;70;8;8
"362";"Simple.Heffe.2";1;1,053;1,014;15;5,1;4
"363";"Badger.Red.Irish.Ale";4;1,055;1,016;26;5,1;15
"364";"First.Run.Weizen";1;1,021;1,006;29;1,9;2
"365";"Rob.s.IPA";2;1,075;1,019;70;7,3;5
"366";"Red.Ale..Hodge.version.";4;1,055;1,015;23;5,3;12
"367";"Big.Daddy.IPA";2;1,063;1,015;94;6,3;13
"368";"Resin.IPA.not.session";2;1,067;1,016;92;6,7;5
"369";"X.7.Raspberry.IPA";2;1,07;1,014;99;7,3;11
"370";"Dogfish.Head.60.Minute.IPA.Clone";2;1,063;1,019;80;5,8;9
"371";"Ranger.IPA";2;1,058;1,009;109;6,4;7
"372";"Unita.s.Hop.Nosh";2;1,051;1,007;72;5,8;10
"373";"Glenview.Rye.IPA";2;1,062;1,009;60;7;11
"374";"Hunkel";1;1,047;1,012;13;4,6;11
"375";"Squashed.Armadillo.Amarillo.Smash";2;1,061;1,014;49;6,1;5
"376";"DFH.60.Minute.IPA.Clone";2;1,067;1,02;56;6,2;4
"377";"Simcoe.Select.IPA..Midwest.kit.";2;1,053;1,013;75;5,2;13
"378";"The.Great.American.Incognitum";2;1,067;1,02;67;6,1;10
"379";"Knife.Hand.IPA";2;1,062;1,015;59;6,2;32
"380";"Maris.Otter...Nelson.Sauvin.SMaSH";2;1,07;1,01;47;7,8;6
"381";"Sculpin.Clone";2;1,064;1,009;97;7,1;5
"382";"Ruination.Pale";2;1,061;1,02;66;5,3;4
"383";"New.Zealand.IPA";2;1,063;1,015;107;6,3;6
"384";"Valhalla..double.ipa";2;1,081;1,02;78;7,9;7
"385";"Run.Down";2;1,081;1,012;88;9,1;5
"386";"Falcon.Rye.IPA";2;1,058;1,008;50;6,5;12
"387";"Citrillo.7";2;1,066;1,01;96;7,4;6
"388";"American.IPA.v2";2;1,065;1,017;75;6,3;7
"389";"Unnamed.IPA..17.";2;1,053;1,013;138;5,2;8
"390";"birthday.ipa";2;1,058;1,015;89;5,7;3
"391";"Blueberry.Oatmeal.IPA";2;1,053;1,013;81;5,3;4
"392";"Brian.Pilsner";3;1,051;1,013;23;5;2
"393";"Wilson.IPA.III";2;1,058;1,005;70;6,9;10
"394";"fikePA";2;1,06;1,015;88;5,9;5
"395";"Juicy.IPA";2;1,065;1,018;80;6,2;2
"396";"X0025.Bobbo.Beer";2;1,059;1,015;178;5,8;2
"397";"Jaded.IPA";2;1,065;1,009;55;7,2;6
"398";"Smashing.the.Mosaic";2;1,067;1,017;109;6,5;5
"399";"Blood.Orange.Mosaic.IPA";2;1,067;1,017;61;6,5;3
"400";"Iroquois";2;1,065;1,009;72;7,3;8
